ano_campeonato,temperatura,jogos_no_mes,rodada,anunciou_poupar,classico,eliminatorio,desfalques,dia_semana,hora,minuto,mes,dia_mes,resultado_partida,resultados_consecutivos,resultados_ultimo_jogo,colocacao_botafogo,colocacao_adversario,gols_botafogo_ultimos_jogos,percentual_ocupacao,mando_vendido_compartilhado,prejuizo_lucro,dias_ultimo_jogo_casa,campeonato_amistoso,campeonato_carioca,campeonato_copa do brasil,campeonato_libertadores,campeonato_recopa-brasileira,campeonato_recopa-sulamericana,campeonato_serie a,campeonato_sulamericana,estádio_Bezerrão,estádio_Kléber Andrade,estádio_Luso Brasileiro,estádio_Mangueirão,estádio_Mané Garrincha,estádio_Maracanã,estádio_Nilton Santos,estádio_Raulino de Oliveira,estádio_São Januário,tipo_partida_ida,tipo_partida_jogo único,tipo_partida_liga,tipo_partida_unico,tipo_partida_volta,estado_adversario_ARG,estado_adversario_BA,estado_adversario_BOL,estado_adversario_CE,estado_adversario_CHI,estado_adversario_COL,estado_adversario_DF,estado_adversario_EQU,estado_adversario_GO,estado_adversario_MG,estado_adversario_MT,estado_adversario_PAR,estado_adversario_PE,estado_adversario_PER,estado_adversario_PR,estado_adversario_RJ,estado_adversario_RS,estado_adversario_SC,estado_adversario_SP,estado_adversario_URU,estado_adversario_VEN,time_adversario_América-MG,time_adversario_Athletico-PR,time_adversario_Atlético-GO,time_adversario_Atlético-MG,time_adversario_Audax Rio,time_adversario_Aurora,time_adversario_Avaí FC,time_adversario_Bangu,time_adversario_Boavista,time_adversario_Brasiliense,time_adversario_Carabobo,time_adversario_Ceará,time_adversario_Ceilândia,time_adversario_Corinthians,time_adversario_Coritiba FC,time_adversario_Criciúma,time_adversario_Cruzeiro,time_adversario_Cuiabá-MT,time_adversario_César Vallejo,time_adversario_Defensa y Justicia,time_adversario_EC Bahia,time_adversario_Estudiantes de La Plata,time_adversario_Flamengo,time_adversario_Fluminense,time_adversario_Fortaleza,time_adversario_Goiás,time_adversario_Grêmio,time_adversario_Guaraní,time_adversario_Internacional,time_adversario_Junior Barranquilla,time_adversario_Juventude,time_adversario_LDU,time_adversario_Madureira,time_adversario_Magallanes,time_adversario_Maricá,time_adversario_Mirassol,time_adversario_Nova Iguaçu,time_adversario_Novorizontino,time_adversario_Palmeiras,time_adversario_Patronato,time_adversario_Peñarol,time_adversario_Portuguesa-RJ,time_adversario_RB Bragantino,time_adversario_Racing,time_adversario_Sampaio Corrêa-RJ,time_adversario_Santos,time_adversario_Sport,time_adversario_São Paulo,time_adversario_Universidade de Chile,time_adversario_Universitario-PER,time_adversario_Vasco da Gama,time_adversario_Vitória,time_adversario_Volta Redonda,time_adversario_Ypiranga,fase_fase de grupos,fase_final,fase_final - taça rio,fase_liga,fase_oitavas-de-final,fase_quartas-de-final,fase_segunda fase,fase_semi-final,fase_semi-final - taça rio,fase_terceira fase,fase_unico
0.0,0.7647058823529411,0.3914298634229756,0.748735797193688,False,False,False,0.9166666666666666,1.0,0.44149351020990346,0.0,0.6227461525554033,0.6060730592073184,-1,1.0,1.0,0.9377434634902906,0.6933586007364535,0.0,18.49,False,False,0.12841260174359756,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.0,0.4117647058823528,0.6177109630819343,0.7823650637817967,False,False,False,0.75,1.0,1.0,0.0,0.6227461525554033,0.8102079647870318,1,1.0,3.0,0.9750975556864365,0.7295739160596907,0.0,17.27,False,False,0.42173409626817016,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.0,0.23529411764705888,0.0,0.8129255914413833,False,False,False,0.9166666666666666,0.9140430905958248,0.19778317364041356,30.0,0.703677864528813,0.23216699387881437,0,1.0,0.0,0.9750975556864365,0.9222208260913793,0.11047894182409441,46.15,False,True,0.6593711187417883,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.0,0.4117647058823528,0.3914298634229756,0.8272280603853884,False,False,False,0.41666666666666663,1.0,1.0,0.0,0.703677864528813,0.5124610793997129,0,2.0,0.0,0.9750975556864365,0.988428897095385,0.2047731384891745,26.06,False,False,0.47124998463715706,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.0,0.588235294117647,0.6177109630819343,0.8541469255262951,False,True,False,0.9166666666666666,1.0,0.44149351020990346,0.0,0.703677864528813,0.9201074987647094,-1,2.0,1.0,0.9999999999999999,0.6492591404254702,0.368769001807265,30.77,False,True,0.689238726441159,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.0,0.17647058823529416,0.0,0.8791038458157219,False,False,False,0.9166666666666666,1.0,0.0,0.0,0.7814640405957025,0.413742506235842,0,0.0,2.0,0.9919535893291234,0.8120331152438722,0.443013938934026,68.79,False,True,0.689238726441159,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.0,0.23529411764705888,0.3914298634229756,0.8909359868484839,False,False,False,0.75,1.0,0.5990136888012721,0.0,0.7814640405957025,0.6363470338473104,1,0.0,2.0,0.9750975556864365,0.9506153178554391,0.368769001807265,32.13,False,True,0.42173409626817016,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.0,0.17647058823529416,0.0,0.9134540004250628,False,False,False,0.5833333333333333,0.41339922077535396,0.7841517001973365,0.0,0.8565586598591656,0.14962693178792633,-1,2.0,1.0,0.9167998336364788,0.5047042908390481,0.443013938934026,35.25,False,True,0.7438518267292568,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.0,0.5294117647058822,0.3914298634229756,0.9447214472855776,False,False,False,0.5,1.0,0.44149351020990346,0.0,0.8565586598591656,0.5753580467652241,-1,3.0,0.0,0.9167998336364788,0.5917319839836033,0.5136127135805225,52.09,False,True,0.6274611806708771,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.0,0.7647058823529411,0.6177109630819343,0.9641211565226846,False,False,False,0.5833333333333333,0.7105596436364743,0.5990136888012721,30.0,0.8565586598591656,0.893016413752567,1,0.0,2.0,0.9570923271967893,0.9222208260913793,0.443013938934026,23.64,False,False,0.5931802239986489,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
